Button #1,Button #2,Button #3,Button #4,Button #5,Button #6,Button #7,Button #8,Button #9
Up,Down,Down,Up,Up,Down,Down,Right,Right
Up,Down,Down,Up,Up,Down,Down,C,Left
Up,Down,Down,Up,Up,Down,C,Up,Right
Up,Down,Down,Up,Up,Down,A,Up,Left
Up,Down,Down,Up,Up,Left,Up,Right,Right
Up,Down,Down,Up,Up,Left,Up,C,Left
Up,Down,Down,Up,Up,A,Up,Up,Right
Up,Down,Down,Up,Up,B,Up,Up,Left
Up,Down,Left,Down,Up,Down,Down,Right,Right
Up,Down,Left,Down,Up,Down,Down,C,Left
Up,Down,Left,Down,Up,Down,C,Up,Right
Up,Down,Left,Down,Up,Down,A,Up,Left
Up,Down,Left,Down,Up,Left,Up,Right,Right
Up,Down,Left,Down,Up,Left,Up,C,Left
Up,Down,Left,Down,Up,A,Up,Up,Right
Up,Down,Left,Down,Up,B,Up,Up,Left
Up,Down,Left,Left,Down,Down,Down,Right,Right
Up,Down,Left,Left,Down,Down,Down,C,Left
Up,Down,Left,Left,Down,Down,C,Up,Right
Up,Down,Left,Left,Down,Down,A,Up,Left
Up,Down,Left,Left,Down,Left,Up,Right,Right
Up,Down,Left,Left,Down,Left,Up,C,Left
Up,Down,Left,Left,Down,A,Up,Up,Right
Up,Down,Left,Left,Down,B,Up,Up,Left
Up,Down,Left,Left,Left,Up,Down,Right,Right
Up,Down,Left,Left,Left,Up,Down,C,Left
Up,Down,Left,Left,Left,Up,C,Up,Right
Up,Down,Left,Left,Left,Up,A,Up,Left
Up,Down,Left,Left,Right,Up,Up,Right,Right
Up,Down,Left,Left,Right,Up,Up,C,Left
Up,Down,Left,Left,B,Up,Up,Up,Right
Up,Down,Left,Right,Down,Up,Down,Right,Right
Up,Down,Left,Right,Down,Up,Down,C,Left
Up,Down,Left,Right,Down,Up,C,Up,Right
Up,Down,Left,Right,Down,Up,A,Up,Left
Up,Down,Left,Right,Left,Down,Down,Right,Right
Up,Down,Left,Right,Left,Down,Down,C,Left
Up,Down,Left,Right,Left,Down,C,Up,Right
Up,Down,Left,Right,Left,Down,A,Up,Left
Up,Down,Left,Right,Left,Left,Up,Right,Right
Up,Down,Left,Right,Left,Left,Up,C,Left
Up,Down,Left,Right,Left,A,Up,Up,Right
Up,Down,Left,Right,Left,B,Up,Up,Left
Up,Down,Left,Right,Right,Down,Up,Right,Right
Up,Down,Left,Right,Right,Down,Up,C,Left
Up,Down,Left,Right,Right,Left,Down,Right,Right
Up,Down,Left,Right,Right,Left,Down,C,Left
Up,Down,Left,Right,Right,Left,C,Up,Right
