Button #1,Button #2,Button #3,Button #4,Button #5,Button #6,Button #7,Button #8,Button #9
Up,Down,C,Down,C,A,Down,C,Up
Up,Down,C,Down,C,A,A,Up,Up
Up,Down,C,Down,C,B,C,Up,Up
Up,Down,C,Down,A,A,Down,C,Down
Up,Down,C,Down,A,A,A,Up,Down
Up,Down,C,Down,A,B,C,Up,Down
Up,Down,C,Down,B,C,Down,C,Down
Up,Down,C,Down,B,C,A,Up,Down
Up,Down,C,Down,B,B,Down,Down,Up
Up,Down,C,Down,B,B,Down,A,C
Up,Down,C,Down,B,B,Down,B,A
Up,Down,C,Down,B,B,B,Up,C
Up,Down,C,C,Up,C,C,C,Down
Up,Down,C,C,Up,A,A,Down,Up
Up,Down,C,C,Up,A,A,A,C
Up,Down,C,C,Up,A,A,B,A
Up,Down,C,C,Up,A,B,C,C
Up,Down,C,C,Up,B,C,Down,Up
Up,Down,C,C,Up,B,C,A,C
Up,Down,C,C,Up,B,C,B,A
Up,Down,C,A,Up,A,Down,C,Up
Up,Down,C,A,Up,A,A,Up,Up
Up,Down,C,A,Up,B,C,Up,Up
Up,Down,C,B,Up,A,Down,C,Down
Up,Down,C,B,Up,A,A,Up,Down
Up,Down,C,B,Up,B,C,Up,Down
Up,Down,A,Down,C,Down,C,C,Up
Up,Down,A,Down,C,A,Up,C,Up
Up,Down,A,Down,A,Down,C,C,Down
Up,Down,A,Down,A,A,Up,C,Down
Up,Down,A,Down,B,Down,A,Down,Up
Up,Down,A,Down,B,Down,A,A,C
Up,Down,A,Down,B,Down,A,B,A
Up,Down,A,Down,B,Down,B,C,C
Up,Down,A,Down,B,C,Up,C,Down
Up,Down,A,Down,B,B,Up,Down,Up
Up,Down,A,Down,B,B,Up,A,C
Up,Down,A,Down,B,B,Up,B,A
Up,Down,A,A,Up,Down,C,C,Up
Up,Down,A,A,Up,A,Up,C,Up
Up,Down,A,B,Up,Down,C,C,Down
Up,Down,A,B,Up,A,Up,C,Down
Up,Down,B,Down,B,Down,Down,C,Up
Up,Down,B,Down,B,Down,A,Up,Up
Up,Down,B,Down,B,B,Up,Up,Up
Up,Down,B,C,Up,Down,C,C,Up
Up,Down,B,C,Up,A,Up,C,Up
Up,A,Up,Down,C,A,Down,C,Up
Up,A,Up,Down,C,A,A,Up,Up
Up,A,Up,Down,C,B,C,Up,Up
Up,A,Up,Down,A,A,Down,C,Down
Up,A,Up,Down,A,A,A,Up,Down
Up,A,Up,Down,A,B,C,Up,Down
Up,A,Up,Down,B,C,Down,C,Down
Up,A,Up,Down,B,C,A,Up,Down
Up,A,Up,Down,B,B,Down,Down,Up
Up,A,Up,Down,B,B,Down,A,C
Up,A,Up,Down,B,B,Down,B,A
Up,A,Up,Down,B,B,B,Up,C
Up,A,Up,C,Up,C,C,C,Down
Up,A,Up,C,Up,A,A,Down,Up
Up,A,Up,C,Up,A,A,A,C
Up,A,Up,C,Up,A,A,B,A
Up,A,Up,C,Up,A,B,C,C
Up,A,Up,C,Up,B,C,Down,Up
Up,A,Up,C,Up,B,C,A,C
Up,A,Up,C,Up,B,C,B,A
Up,A,Up,A,Up,A,Down,C,Up
Up,A,Up,A,Up,A,A,Up,Up
Up,A,Up,A,Up,B,C,Up,Up
Up,A,Up,B,Up,A,Down,C,Down
Up,A,Up,B,Up,A,A,Up,Down
Up,A,Up,B,Up,B,C,Up,Down
Up,B,Up,Down,C,Down,C,C,Up
Up,B,Up,Down,C,A,Up,C,Up
Up,B,Up,Down,A,Down,C,C,Down
Up,B,Up,Down,A,A,Up,C,Down
Up,B,Up,Down,B,Down,A,Down,Up
Up,B,Up,Down,B,Down,A,A,C
Up,B,Up,Down,B,Down,A,B,A
Up,B,Up,Down,B,Down,B,C,C
Up,B,Up,Down,B,C,Up,C,Down
Up,B,Up,Down,B,B,Up,Down,Up
Up,B,Up,Down,B,B,Up,A,C
Up,B,Up,Down,B,B,Up,B,A
Up,B,Up,A,Up,Down,C,C,Up
Up,B,Up,A,Up,A,Up,C,Up
Up,B,Up,B,Up,Down,C,C,Down
Up,B,Up,B,Up,A,Up,C,Down
